ProteinIDs,gene,peptides,intensity_total_01,intensity_L_01,intensity_H_01,intensity_total_1,intensity_L_1,intensity_H_1,intensity_total_10,intensity_L_10,intensity_H_10,intensity_total_100,intensity_L_100,intensity_H_100,intensity_total_1000,intensity_L_1000,intensity_H_1000,MaxQuant_ratio_type,maxquant_ratio_01,maxquant_ratio_1,maxquant_ratio_10,maxquant_ratio_100,maxquant_ratio_1000,maxquant_ratio_normalized_01,maxquant_ratio_normalized_1,maxquant_ratio_normalized_10,maxquant_ratio_normalized_100,maxquant_ratio_normalized_1000,promoter,date,wt_sequence,control_sequence,strain,media,binding_additions,replicate,spec_machine,labeling
P0A7B1,ppk,2,4730000,3801400,928570,16246000,11008000,5238400,0,0,0.0,0,0,0,1290200,0.0,1290200,Median,0.19987,0.71012,,,,1.3598,0.96922,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7B5,proB,1,0,0,0,0,0,0,1176700,206840,969830.0,0,0,0,578170,0.0,578170,Median,,,6.5385,,,,,1.3227,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7D1,pth,1,19624000,18652000,972150,31497000,18719000,12778000,8024500,1187900,6836700.0,0,0,0,0,0.0,0,Median,0.059996,0.67839,6.9397,,,0.73848,0.94575,1.1898,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7D4,purA,14,1125300000,1020000000,105270000,864460000,482250000,382210000,422110000,40887000,381220000.0,246410000,4215700,242200000,255830000,349000.0,255480000,Median,0.086538,0.81217,8.3385,57.671,93.813,1.1777,1.0885,1.1157,1.2106,144.8,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7D7,purC,6,497800000,454570000,43238000,835850000,522510000,313350000,87354000,12521000,74833000.0,78352000,2803600,75548000,56548000,830030.0,55718000,Median,0.056187,0.58613,6.317,30.576,64.263,0.72549,0.77393,0.90799,0.78435,99.19,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7E5,pyrG,9,363570000,338290000,25282000,284320000,155200000,129120000,81165000,9126900,72039000.0,73652000,1275200,72376000,39961000,411040.0,39550000,Median,0.072671,0.75909,8.2389,50.226,27.992,0.96336,1.0492,1.0871,1.2165,43.206,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7E9,pyrH,1,0,0,0,18009000,11593000,6415700,0,0,0.0,2121200,0,2121200,3500900,66498.0,3434400,Median,,0.54205,,,85.49,,0.75515,,,40.146,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7F3,pyrI,7,653550000,596260000,57286000,1354900000,616080000,738810000,290000000,22798000,267200000.0,151730000,1392900,150340000,174280000,340340.0,173940000,Median,0.10592,1.1501,11.715,98.193,334.17,1.4709,1.4547,1.4401,1.7494,515.8,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7F6,speD,1,48400000,44553000,3846800,32035000,16459000,15575000,0,0,0.0,0,0,0,0,0.0,0,Median,0.08292,1.0121,,,,1.1874,1.411,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7G6,recA,2,51380000,48534000,2846700,43319000,28485000,14834000,0,0,0.0,0,0,0,0,0.0,0,Median,0.055269,0.5058,,,,0.74103,0.65202,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7I4,prfC,3,30246000,28483000,1763300,49175000,29287000,19888000,7330500,829520,6500900.0,0,0,0,0,0.0,0,Median,0.05998,0.6932,7.8811,,,0.77259,0.89845,1.2013,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7J3,rplJ,7,1204100000,1119600000,84493000,1268700000,726790000,541890000,376470000,43382000,333080000.0,276560000,4324300,272240000,228340000,792910.0,227550000,Median,0.076127,0.77448,7.746,53.415,269.91,1.0375,1.0047,0.99116,1.1063,169.52,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7J7,rplK,3,1621300000,1499500000,121870000,1354400000,732460000,621950000,718940000,69446000,649500000.0,781540000,11333000,770200000,123080000,0.0,123080000,Median,0.081311,0.83912,9.8044,58.859,,1.0424,1.0368,1.1261,1.103,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7K2,rplL,7,90624000,84373000,6251500,689070000,408730000,280350000,212570000,25143000,187420000.0,79616000,1494100,78122000,60069000,946650.0,59123000,Median,0.069709,0.63405,7.271,44.724,51.363,0.71059,0.83581,0.93006,1.0464,17.146,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7K6,rplS,7,299170000,276980000,22190000,188740000,101540000,87200000,76265000,8875700,67389000.0,27880000,997920,26882000,61047000,1242800.0,59804000,Median,0.079873,0.90139,9.0678,13.463,15.558,1.0669,1.1896,1.0737,0.47323,12.089,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7L0,rplA,13,1551500000,1436800000,114730000,3671800000,1948100000,1723700000,1237600000,127440000,1110200000.0,1114900000,19596000,1095300000,1110600000,2472200.0,1108100000,Median,0.080575,0.82083,8.6848,55.124,155.4,1.0818,1.0485,1.0757,1.8848,600.69,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7L3,rplT,4,266490000,250430000,16062000,371080000,198150000,172930000,87765000,8222700,79543000.0,40273000,710610,39562000,22306000,128270.0,22178000,Median,0.069431,0.83903,9.8518,46.175,112.69,0.89461,1.0896,1.2542,3.4602,173.94,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7L8,rpmA,2,159200000,149240000,9959500,153220000,82979000,70246000,79163000,6376200,72787000.0,49544000,699850,48844000,53844000,0.0,53844000,Median,0.071242,0.93034,9.7354,37.702,,0.97797,1.2279,1.1866,0.96438,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7M2,rpmB,7,190850000,177640000,13211000,901330000,479940000,421400000,180470000,16758000,163710000.0,70991000,1837700,69153000,44028000,1639500.0,42389000,Median,0.082432,0.87766,6.1327,43.401,1.1713,0.99526,1.1631,1.1182,2.1157,1.808,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7M6,rpmC,1,0,0,0,19711000,10428000,9282400,0,0,0.0,0,0,0,0,0.0,0,Median,,0.89762,,,,,1.2497,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7M9,rpmE,4,37345000,34766000,2578800,377010000,215990000,161020000,102760000,10116000,92645000.0,37808000,928430,36880000,27851000,220330.0,27630000,Median,0.068213,0.75049,8.9787,44.543,122.25,0.88204,0.94414,1.1372,1.6292,188.69,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7N4,rpmF,2,21303000,19558000,1744800,152150000,82441000,69704000,29803000,3252900,26551000.0,24103000,566640,23536000,0,0.0,0,Median,0.096381,0.8092,7.4785,27.316,,1.194,1.093,1.4302,3.1417,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7N9,rpmG,3,113750000,104800000,8944700,588780000,288590000,300190000,214260000,18893000,195370000.0,109680000,2697800,106980000,59569000,610350.0,58958000,Median,0.086514,0.80455,9.9222,48.971,65.478,1.007,1.0397,1.3386,1.8204,18.699,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7P5,rpmH,5,67346000,61971000,5375400,369050000,207470000,161580000,113920000,10744000,103170000.0,135640000,2052600,133590000,100450000,203860.0,100250000,Median,0.08072,0.82321,9.2551,65.087,384.45,0.92258,1.0894,1.1488,1.6776,593.41,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7Q1,rpmI,4,19192000,17389000,1802900,100170000,55748000,44425000,2884200,307290,2576900.0,14146000,256660,13889000,7024000,0.0,7024000,Median,0.10172,0.84104,8.3686,16.362,,1.0656,1.1542,1.4538,2.7436,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7Q6,rpmJ,1,9404900,8161500,1243400,74465000,41475000,32989000,0,0,0.0,0,0,0,0,0.0,0,Median,0.14223,0.75524,,,,1.4821,0.99652,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7R1,rplI,9,3472000000,3212100000,259870000,4700400000,2527000000,2173400000,1351900000,119760000,1232200000.0,1144700000,18464000,1126300000,1057800000,3390200.0,1054400000,Median,0.077785,0.86314,9.6271,64.946,288.46,1.058,1.0817,1.1881,1.1787,657.65,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7R5,rpsJ,5,399930000,365170000,34762000,966100000,513820000,452280000,286340000,33018000,253320000.0,202590000,5926200,196670000,65396000,863220.0,64533000,Median,0.092835,0.8501,9.1256,51.569,59.227,1.2009,1.1158,1.0561,1.1074,91.418,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7R9,rpsK,3,439160000,407890000,31273000,579680000,306760000,272920000,141830000,11370000,130460000.0,96680000,1982000,94698000,104800000,710020.0,104090000,Median,0.073805,0.89351,7.7598,46.942,109.95,0.97961,1.1847,0.89697,0.82437,169.7,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7S3,rpsL,5,936830000,859420000,77408000,1108600000,574340000,534300000,304140000,29568000,274570000.0,109310000,1716400,107590000,207230000,1493000.0,205740000,Median,0.093042,0.887,10.475,66.088,137.73,1.2452,1.1785,1.2735,1.2673,72.808,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7S9,rpsM,5,306850000,281580000,25277000,262820000,142890000,119920000,84492000,8392000,76100000.0,60249000,371010,59878000,31583000,0.0,31583000,Median,0.084963,0.85119,8.5812,44.083,,1.1343,1.1649,1.1413,0.91768,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7T3,rpsP,2,14631000,13450000,1181400,121450000,63958000,57496000,38019000,3838200,34181000.0,16731000,221800,16509000,2440500,0.0,2440500,Median,0.089078,0.78892,9.7289,52.816,,1.0233,1.0303,1.2296,1.317,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7T7,rpsR,7,48979000,44390000,4589600,306110000,153600000,152510000,47066000,4132000,42934000.0,48084000,824750,47259000,26192000,228260.0,25964000,Median,0.1032,0.86003,8.5691,23.241,54.523,1.1997,1.1361,1.311,1.8176,84.156,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7U3,rpsS,4,430580000,399480000,31107000,408530000,222210000,186330000,53621000,4582900,49038000.0,93577000,1647800,91930000,94875000,986820.0,93889000,Median,0.074971,0.85192,10.164,50.841,30.827,1.0314,1.1539,1.4728,1.2276,13.767,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7U7,rpsT,5,934830000,852720000,82112000,1074400000,535200000,539230000,434660000,38000000,396660000.0,314000000,5341000,308660000,278770000,559760.0,278210000,Median,0.083946,0.91903,10.249,57.531,63.027,1.0483,1.2057,1.2304,1.1588,97.283,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7V0,rpsB,15,1947200000,1798200000,149020000,2831500000,1509300000,1322200000,862590000,98147000,764450000.0,871030000,46091000,824940000,973110000,36113000.0,937000000,Median,0.080381,0.89002,8.8749,50.476,5.1101,1.0555,1.1256,1.1227,1.2344,4.1043,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7V3,rpsC,9,1794300000,1671800000,122480000,2354200000,1341900000,1012300000,634700000,69879000,564820000.0,473080000,15198000,457880000,458790000,5170100.0,453620000,Median,0.074604,0.83457,8.5149,48.29,96.943,1.0584,1.0631,1.1206,1.3659,55.73,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7V8,rpsD,9,1242600000,1154700000,87945000,1787500000,945650000,841800000,260690000,25124000,235570000.0,243330000,10990000,232340000,405490000,3269600.0,402220000,Median,0.079097,0.83782,8.0673,43.382,241.43,0.8892,1.1079,1.1603,1.8089,372.64,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7W1,rpsE,8,1452600000,1328800000,123820000,2109200000,1113600000,995660000,536470000,48230000,488240000.0,392030000,5990300,386040000,373170000,1185400.0,371980000,Median,0.090135,0.9005,9.6956,67.452,264.35,1.1743,1.1187,1.1586,1.1563,408.02,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7W7,rpsH,8,492310000,454360000,37944000,981350000,515730000,465620000,247170000,21217000,225960000.0,79399000,2204400,77194000,64579000,1076100.0,63503000,Median,0.083087,0.8674,9.6841,21.368,22.229,1.0382,1.1488,1.4605,0.94156,34.31,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7X3,rpsI,6,606790000,572050000,34739000,524650000,313040000,211600000,102210000,9155100,93056000.0,75412000,1112400,74300000,107480000,5032.3,107480000,Median,0.077611,0.86582,9.1142,71.551,197.11,1.1019,1.1396,1.2799,2.021,304.24,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7X6,rimM,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7Y0,rnc,1,11421000,10706000,715260,14629000,8536800,6091900,0,0,0.0,0,0,0,0,0.0,0,Median,0.073521,0.71037,,,,0.80705,0.9767,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7Z0,rpiA,6,128530000,121010000,7515100,143530000,88568000,54963000,46230000,5170700,41059000.0,9141800,80353,9061400,19752000,104110.0,19648000,Median,0.054154,0.62914,7.2934,34.097,64.284,0.70479,0.82535,1.0878,8.7433,99.223,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A7Z4,rpoA,6,300960000,262650000,38310000,320150000,187950000,132200000,114370000,13951000,100420000.0,104140000,3213400,100920000,36689000,480490.0,36208000,Median,0.065747,0.68358,7.3109,32.949,23.529,0.85106,0.90434,0.98205,0.86289,28.384,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A805,frr,10,231780000,214000000,17783000,860170000,480340000,379830000,67657000,6230900,61426000.0,9623300,126980,9496300,52080000,262920.0,51817000,Median,0.076712,0.81034,9.6191,11.973,47.252,0.90392,1.0864,1.5344,2.5049,32.3,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A817,metK,14,1486500000,1418800000,67671000,1836200000,1188200000,648040000,513390000,57281000,456110000.0,475840000,14568000,461270000,369250000,2580100.0,366670000,Median,0.047074,0.51522,5.6296,45.206,59.398,0.63818,0.6752,0.74275,0.82056,91.681,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A825,glyA,21,6063600000,5567600000,496090000,8809800000,4705500000,4104400000,2471900000,243340000,2228600000.0,2057000000,33619000,2023400000,1758500000,9390100.0,1749200000,Median,0.085513,0.86634,9.267,60.119,2103.9,1.1436,1.1172,1.1674,1.2579,6554.5,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A832,smpB,3,21934000,20841000,1092400,27696000,16569000,11127000,0,0,0.0,0,0,0,0,0.0,0,Median,0.05829,0.69448,,,,0.73247,0.96782,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A836,sucC,17,1520800000,1366200000,154560000,2251600000,1288500000,963170000,475580000,48234000,427340000.0,499460000,13586000,485880000,311470000,3024700.0,308450000,Median,0.068628,0.73344,7.4444,49.449,106.8,0.93967,0.94807,0.99643,0.87204,164.84,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A847,tgt,2,20265000,19026000,1238900,33796000,20292000,13505000,3112100,266660,2845400.0,0,0,0,0,0.0,0,Median,0.085186,0.70958,7.7838,,,1.0435,0.94354,1.3315,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A850,tig,14,1542100000,1421600000,120530000,2341500000,1243600000,1097900000,479490000,44411000,435080000.0,722930000,10573000,712360000,409870000,1259200.0,408610000,Median,0.089112,0.8566,10.165,58.366,160.53,1.1981,1.1314,1.2702,0.98715,247.77,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A855,tolB,2,43290000,41377000,1912900,55158000,38158000,17001000,24720000,6190400,18530000.0,26454000,5012900,21441000,21909000,5682400.0,16226000,Median,0.046014,0.45142,1.5151,0.93135,1.0852,0.60203,0.59648,0.18842,0.020983,1.6751,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A858,tpiA,11,673430000,629040000,44385000,425430000,239710000,185720000,142030000,14026000,128010000.0,74537000,998500,73539000,147290000,170880.0,147110000,Median,0.081236,0.80286,8.5439,69.78,420.92,1.0531,1.0498,1.1532,1.6477,649.69,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A862,tpx,4,2464400000,2326800000,137610000,2904600000,1814000000,1090600000,865290000,110920000,754380000.0,574690000,13775000,560910000,415240000,2671600.0,412570000,Median,0.059445,0.57944,6.8266,41.985,167.75,0.77663,0.71509,0.78465,0.76346,258.92,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A867,talA,10,564260000,528280000,35985000,943750000,582460000,361290000,178930000,25275000,153660000.0,141360000,5695800,135670000,37008000,857590.0,36151000,Median,0.055099,0.60922,6.6672,21.171,22.119,0.73646,0.83603,0.80653,1.4666,34.14,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A870,talB,14,3442500000,3258400000,184110000,3342500000,2136400000,1206100000,1176100000,154290000,1021800000.0,1125200000,22850000,1102300000,646220000,3439200.0,642780000,Median,0.053081,0.55838,6.0375,42.773,101.76,0.72309,0.72449,0.74802,0.78516,70.474,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A877,trpA,8,773840000,704280000,69565000,1501200000,871580000,629650000,336060000,49457000,286600000.0,197960000,3707200,194250000,243890000,1218700.0,242670000,Median,0.062078,0.72162,7.3604,44.522,198.18,0.83968,0.95917,0.93007,1.0135,305.89,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A879,trpB,13,625260000,571970000,53292000,1361600000,773400000,588180000,347040000,36305000,310740000.0,309830000,6140200,303690000,200260000,1053400.0,199210000,Median,0.074071,0.68811,7.6249,50.018,43.273,0.93283,0.88742,1.0009,1.0482,66.792,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A884,thyA,2,0,0,0,0,0,0,0,0,0.0,4699200,96220,4602900,741500,0.0,741500,Median,,,,20.118,,,,,2.2472,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A894,rapZ,2,906870,868630,38236,17676000,11748000,5927600,3424900,505750,2919200.0,0,0,0,0,0.0,0,Median,0.041933,0.52135,5.1761,,,0.40662,0.70591,0.87815,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8A0,yebC,5,145210000,133160000,12053000,192080000,106010000,86066000,102820000,8801700,94017000.0,41393000,972630,40421000,50198000,134430.0,50064000,Median,0.093307,0.87369,9.5482,50.564,104.28,1.2091,1.1817,1.1867,1.1746,160.96,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8A2,yeeN,3,14262000,12814000,1448200,0,0,0,14959000,1845800,13113000.0,5144200,0,5144200,9025000,482090.0,8542900,Median,0.12215,,5.6175,,7.2475,1.3956,,0.85941,,11.187,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8D0,nrdR,1,26369000,25411000,957840,26590000,17834000,8756000,0,0,0.0,4180000,0,4180000,3787400,0.0,3787400,Median,0.035374,0.44538,,,,0.45249,0.62278,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8E1,ycfP,2,8474100,7729900,744230,41480000,25432000,16049000,4452900,386210,4066700.0,0,0,0,3069000,0.0,3069000,Median,0.14095,0.8759,8.4805,,,1.439,1.1277,1.4127,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8E7,yajQ,7,336510000,319490000,17019000,408340000,252380000,155960000,113680000,11763000,101920000.0,34785000,959330,33826000,25541000,639570.0,24902000,Median,0.057816,0.67162,7.2185,23.48,16.175,0.787,0.88212,0.88175,0.49066,24.966,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8F0,upp,6,139610000,126510000,13109000,457240000,213230000,244010000,47472000,4639600,42832000.0,20438000,986870,19451000,43018000,3207500.0,39811000,Median,0.10756,1.107,8.8607,26.677,7.554,1.359,1.4632,1.2753,1.6142,11.66,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8F8,uvrB,3,9750900,9354900,396020,1469500,1043100,426420,1835200,379980,1455200.0,0,0,0,0,0.0,0,Median,0.046276,0.36753,4.0668,,,0.46011,0.49244,0.79834,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8G6,wrbA,2,145300000,136840000,8459900,192820000,122530000,70285000,38130000,5320600,32809000.0,30077000,4268800,25808000,51007000,3030500.0,47976000,Median,0.062679,0.59354,5.7097,7.5847,18.495,0.84005,0.78753,0.81335,0.92489,28.548,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8I3,yaaA,1,0,0,0,3408100,2181600,1226500,0,0,0.0,0,0,0,0,0.0,0,Median,,0.44406,,,,,0.60847,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8I5,trmB,1,8951600,8179800,771770,27558000,15516000,12042000,0,0,0.0,0,0,0,4085200,0.0,4085200,Median,0.089882,0.76842,,,,0.92755,1.0574,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8L1,serS,10,291610000,273300000,18311000,554380000,316340000,238040000,102960000,11269000,91695000.0,87755000,1166700,86588000,73817000,260180.0,73557000,Median,0.070789,0.70613,7.4693,47.624,46.369,0.94018,0.95044,0.93186,1.2296,71.571,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8M0,asnS,3,82767000,78982000,3784400,134150000,82419000,51735000,22983000,2225300,20758000.0,21906000,450130,21456000,29122000,361440.0,28760000,Median,0.046838,0.50846,7.7925,42.68,79.951,0.64318,0.67572,0.97997,1.0162,123.4,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8M3,thrS,15,535460000,504630000,30836000,704860000,435520000,269340000,152620000,22376000,130240000.0,54829000,610990,54218000,117420000,157660.0,117260000,Median,0.064583,0.64296,6.5427,42.405,16.952,0.83244,0.85553,0.88166,1.3654,26.165,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8M6,yeeX,4,129050000,123630000,5420900,424700000,275320000,149380000,61754000,9336600,52417000.0,21470000,666180,20804000,1122900,53385.0,1069500,Median,0.048374,0.5479,5.4519,22.036,13.863,0.51385,0.75812,1.0698,2.4269,11.284,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8N3;P0A8N5,lysS,7,115550000,104740000,10816000,45784000,27685000,18099000,32443000,2850300,29593000.0,30286000,737620,29548000,17950000,606030.0,17344000,Median,0.074463,0.62079,8.7496,32.102,23.61,1.0215,0.86153,1.039,0.69663,36.443,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8P3,yggX,1,16607000,15554000,1053500,25018000,14761000,10257000,14226000,1191600,13034000.0,1297200,91896,1205300,4627200,47908.0,4579300,Median,0.06025,0.52249,10.951,14.215,36.36,0.70856,0.72752,1.472,11.248,56.122,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8S1,argP,1,0,0,0,4192000,2406800,1785200,0,0,0.0,0,0,0,0,0.0,0,Median,,0.66663,,,,,0.89988,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8T7,rpoC,17,0,0,0,36279000,21193000,15086000,104560000,11605000,92956000.0,0,0,0,0,0.0,0,Median,,0.72756,7.0251,,,,1.0,1.0409,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8U6,metJ,2,0,0,0,0,0,0,4276000,473930,3802100.0,0,0,0,3460200,0.0,3460200,Median,,,8.4573,,,,,1.4126,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8V2,rpoB,19,11859000,10704000,1155500,105930000,61092000,44840000,287880000,34483000,253390000.0,9432500,642780,8789800,16271000,296520.0,15974000,Median,0.1365,0.71708,7.4601,9.2506,34.851,1.3389,0.98949,0.96566,0.55985,53.792,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8W2,slyA,2,34285000,32542000,1743200,59389000,39655000,19733000,2876500,361190,2515300.0,0,0,0,0,0.0,0,Median,0.075217,0.52717,3.1037,,,0.9682,0.71615,0.5396,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8W5,yqgE,1,0,0,0,6956200,3891700,3064500,0,0,0.0,0,0,0,0,0.0,0,Median,,0.74343,,,,,0.9968,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8W8,yfbU,1,59477000,56690000,2787500,0,0,0,0,0,0.0,24539000,7716900,16822000,0,0.0,0,Median,0.047159,,,1.2239,,0.63715,,,0.026881,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8X0,yjgA,1,0,0,0,10709000,10308000,400380,0,0,0.0,0,0,0,0,0.0,0,Median,,0.36274,,,,,0.49514,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8X2,yceI,2,0,0,0,4407400,1956700,2450700,0,0,0.0,0,0,0,812570,0.0,812570,Median,,1.2612,,,,,1.715,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A8Y5,yidA,3,16327000,14703000,1623800,17396000,8967600,8428500,1324600,0,1324600.0,5738800,70682,5668100,5965400,33906.0,5931500,Median,0.11884,1.0581,,45.483,101.0,1.2281,1.4754,,11.537,155.9,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0A903,bamC,1,0,0,0,0,0,0,1090500,233280,857230.0,0,0,0,0,0.0,0,Median,,,4.3026,,,,,0.87183,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
